NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Brasiléia;1200104;ESC SAO SEBASTIAO II;12016942;3;2;1.0;BR 317 KM 59 RAMAL;;0.0;0.0;0.0;1.0;6.0
2019;Brasiléia;1200104;ESC SANTA QUITERIA;12016977;3;2;1.0;BR 317 KM 75 MAIS 25 DE RAMAL;;1.0;0.0;0.0;0.0;12.0
2019;Brasiléia;1200104;ESC VALDOMIRO FERREIRA BARROSO;12016993;3;2;1.0;BR 317 KM 19 MAIS 13 DE RAMAL;;1.0;0.0;0.0;0.0;205.0
2019;Brasiléia;1200104;ESC INFANTIL OS PASTORINHOS;12017000;3;1;0.0;RUA MARIA DE ANUNCIACAO DE PAULA MOREIRA;;1.0;0.0;0.0;0.0;252.0
2019;Brasiléia;1200104;ESC INSTITUTO ODILON PRATAGI;12017027;2;1;0.0;RUA 12 DE OUTUBRO;PREDIO;1.0;0.0;0.0;0.0;1365.0
2019;Brasiléia;1200104;ESC INFANTIL VITORIA SALVATIERRA CESAR;12017035;3;1;0.0;AVENIDA RUI LINO;ESCOLA;1.0;0.0;0.0;0.0;236.0
2019;Brasiléia;1200104;ESC ELSON DIAS DANTAS;12018805;3;1;0.0;RUA ELSON DIAS DANTAS;;1.0;0.0;0.0;0.0;313.0
2019;Brasiléia;1200104;ESC INFANTIL MENINO JESUS;12019615;3;1;0.0;RUA JOAO JOVINO DE OLIVEIRA;;1.0;0.0;0.0;0.0;312.0
2019;Brasiléia;1200104;ESC JOSE MARREIRA FILHO;12019828;3;2;1.0;BR 317 KM 59 RAMAL;;0.0;0.0;0.0;1.0;9.0
2019;Brasiléia;1200104;ESC CEL JOAO BRANDAO;12021318;3;2;0.0;BR 317 KM 84 MAIS RAMAL;;0.0;0.0;0.0;1.0;14.0
2019;Brasiléia;1200104;ESC SAO FRANCISCO II;12023442;3;2;1.0;BR 317 KM 52 MAIS RAMAL;;0.0;0.0;0.0;1.0;12.0
2019;Brasiléia;1200104;ESC FLOR DE NATAL;12023450;3;2;1.0;BR 317 KM 84 MAIS RAMAL;;0.0;0.0;0.0;1.0;10.0
