Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2019;NORTE;AC;Assis Brasil;'04045993000179;12007285;ESC XVII DE NOVEMBRO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12007285;ESC XVII DE NOVEMBRO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Brasiléia;'04508933000145;12028320;CRECHE MUNICIPAL ROMA EMILSE SILVA;Urbana;'11363446000105;CONSELHO ESCOLAR DA CRECHE MUNICIPAL ROMA EMILSE SILVA;68.0;92338963.0;;PARTICULAR;À VENCER;24/02/2026;16/07/2019;10:07:14
2019;NORTE;AC;Brasiléia;'04508933000145;12028339;ESC AIRTON SENA;Rural;'06256815000112;CONSELHO DAS ESCOLAS DE ZONA RURAL;68.0;35464643.0;;PARTICULAR;À VENCER;08/05/2029;09/08/2019;12:08:35
2019;NORTE;AC;Brasiléia;'04508933000145;12026930;ESC ANTONIO CARNEIRO DA SILVA;Rural;'06256815000112;CONSELHO DAS ESCOLAS DE ZONA RURAL;68.0;35464643.0;;PARTICULAR;À VENCER;08/05/2029;09/08/2019;12:08:35
2019;NORTE;AC;Brasiléia;'04508933000145;12035424;ESC CAMPO VERDE;Rural;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;;
2019;NORTE;AC;Brasiléia;'04508933000145;12021318;ESC CEL JOAO BRANDAO;Rural;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;68.0;35464643.0;;PARTICULAR;À VENCER;07/05/2029;16/07/2019;11:07:11
2019;NORTE;AC;Brasiléia;'04508933000145;12028347;ESC CONCI ALVES DE MELO;Rural;'30485264000143;CONSELHO ESCOLAR DA UNIDADE EXECUTORA CONCI ALVES DE MELO;68.0;99250540.0;;PARTICULAR;À VENCER;24/01/2027;18/06/2019;06:06:50
2019;NORTE;AC;Brasiléia;'04508933000145;12016276;ESC DOM PEDRO I;Rural;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;68.0;35464643.0;;PARTICULAR;À VENCER;07/05/2029;16/07/2019;11:07:11
2019;NORTE;AC;Brasiléia;'04508933000145;12018805;ESC ELSON DIAS DANTAS;Urbana;'01714714000124;CONS ESCOLAR ENSINAR PARA EDUCAR DA EMEF ELSON DIAS DANTAS;68.0;92230845.0;;PARTICULAR;À VENCER;15/04/2029;01/08/2019;04:08:07
2019;NORTE;AC;Brasiléia;'04508933000145;12023450;ESC FLOR DE NATAL;Rural;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;68.0;35464643.0;;PARTICULAR;À VENCER;07/05/2029;16/07/2019;11:07:11
2019;NORTE;AC;Brasiléia;'04508933000145;12032905;ESC FRANCISCO GERMANO DA SILVA;Rural;'30477711000112;CONSELHO ESCOLAR FRANCISCO GERMANO DA SILVA;;;;PARTICULAR;À VENCER;28/01/2028;18/06/2019;06:06:56
